Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2020-05-04,263.657470703125,263.96428532654204,259.5292491586003,261.0261799153736,80873200
2020-05-05,266.093505859375,268.9386278809035,263.7876432775508,266.511917840321,79569900
2020-05-06,264.2897644042969,268.20412728840137,263.8527670009922,267.81363587457895,73632600
2020-05-07,267.4788513183594,269.43139315175324,266.967484150507,267.5439426668808,75250400
2020-05-08,271.9046325683594,272.37882904206623,269.50578633331116,270.6494249685885,76452400
2020-05-11,271.96038818359375,273.3550568409455,269.5243714686897,269.95206191205443,79514200
2020-05-12,266.5399475097656,273.57835796841925,266.400457861123,273.15997414636166,95870800
2020-05-13,261.8257751464844,267.02323641250507,259.37114493787874,265.972581590243,144721100
2020-05-14,264.9591979980469,265.0893523402095,253.8204322004255,259.3619370436062,121977900
2020-05-15,266.17724609375,266.22372371400803,261.5841335774836,262.541805226646,111146300
2020-05-18,274.28485107421875,275.91196459754036,272.14637036483924,272.47177036981714,119703800
2020-05-19,271.4676208496094,275.4098753844556,271.44903548137995,273.680499777055,95189300
2020-05-20,276.0793151855469,276.9533098533053,274.81482916600316,275.0472739526494,85861700
2020-05-21,274.17327880859375,276.7673705679493,273.0668393561112,275.94916038043874,78293900
2020-05-22,274.6940612792969,274.87072165653615,272.629949627792,273.8851576438429,63958200
2020-05-26,278.078369140625,280.96999739968646,274.7125727527704,280.7282457117374,88951400
2020-05-27,282.21588134765625,282.2530804607982,276.0235484288679,280.9048892618461,104817400
2020-05-28,281.69525146484375,285.2934930178406,281.0165023228916,283.2572739665981,90405200
2020-05-29,282.950439453125,283.5454834420559,278.44100423588,281.22103522436385,119090800
2020-06-01,284.09393310546875,284.7075905877911,281.77879271162556,282.29946662851717,55758300
2020-06-02,286.4463195800781,286.49282555772106,283.67559614818225,285.02375875693684,74267200
2020-06-03,290.2584533691406,291.22543164712795,288.1757571161911,288.45467951627955,92567600
2020-06-04,289.4960021972656,291.02085351601016,287.3761070190981,289.26355742608666,75794400
2020-06-05,296.91571044921875,298.71017764112366,294.8887984384263,294.9538897976216,150524700
2020-06-08,300.50469970703125,300.6999454272229,297.18538059070323,297.7339470066986,73641200
2020-06-09,298.2639465332031,300.5790881970677,296.9343404048201,297.8083353250372,77479200
2020-06-10,296.599609375,299.75157495651126,295.8743826249924,298.84968786198516,95000800
2020-06-11,279.5009460449219,290.23060727656724,278.9431011560461,289.58905727974724,209243600
2020-06-12,282.84814453125,287.3761650482097,277.63209643254294,286.5951538642937,194678900
2020-06-15,285.4887390136719,286.63237783282256,275.90271615337605,277.09283259033515,135782700
2020-06-16,290.9836730957031,293.47550276747546,286.0651618513897,293.32673469941386,137627500
2020-06-17,289.7750244140625,292.313332156212,289.03118393807455,292.0157959658169,83398900
2020-06-18,289.8866271972656,290.37010228207913,287.7760381231602,288.24092783438647,80828700
2020-06-19,288.22991943359375,293.59032911568903,286.25943707517774,293.39422421254534,135549600
2020-06-22,290.07891845703125,290.48047602671704,286.4648433309138,287.622833903765,74649400
2020-06-23,291.4143371582031,293.7023317464779,291.0034317750071,292.75911323057716,68471200
2020-06-24,283.98077392578125,289.97623712344625,282.12238011582957,289.35053113495576,132813500
2020-06-25,287.0251770019531,287.29600749580464,281.3565747828588,283.40175397887816,89468000
2020-06-26,280.20794677734375,286.12871324946207,279.6196320611756,285.9139126867648,127961000
2020-06-29,284.3262939453125,284.4663688645096,279.16198959476344,281.4779994235635,79773300
2020-06-30,287.9684143066406,289.6867618258457,283.7286609805707,283.8874030723538,113394800
2020-07-01,289.98553466796875,291.26496153342845,288.6314391818443,289.09837455626104,72396500
2020-07-02,291.58251953125,294.8230526738294,290.9101313475037,293.4595806487884,69344200
2020-07-06,296.083740234375,296.67208342709216,294.69228179409106,295.44871489916267,61713800
2020-07-07,293.0299987792969,296.5226666933672,292.64710830484086,294.5241978626802,82910000
2020-07-08,295.271240234375,295.3833001619314,292.02138833734847,293.80505635007563,54638600
2020-07-09,293.59033203125,296.130461966706,290.13499837290584,295.8876464178938,83354200
2020-07-10,296.5880126953125,296.85884319688637,292.0774294422769,293.5249177275487,57550400
2020-07-13,294.0198669433594,301.36942527176507,293.3568266829696,298.96005124839894,102997500
2020-07-14,297.8301696777344,298.61461794472694,291.3677694313436,292.58179040418105,93657000
2020-07-15,300.5663757324219,301.6776844605353,298.15697268343564,301.0893411927717,87196500
2020-07-16,299.5764465332031,300.03403414297895,297.98885464293335,298.6425756564509,54622500
2020-07-17,300.44488525390625,301.23868105543204,298.5958109926491,300.59430798709116,62774900
2020-07-20,302.873046875,303.629480098336,299.417712805838,300.174146029174,56308800
2020-07-21,303.51739501953125,305.3104112155336,302.5181463012136,304.8621714162723,57292200
2020-07-22,305.24493408203125,305.56247516914857,303.0410131208973,303.15307303424726,57792900
2020-07-23,301.60296630859375,305.59061366707397,300.2208554860033,304.88086259635077,75738000
2020-07-24,299.6604919433594,300.6970749383659,298.1382778520449,299.72586974470505,73766600
2020-07-27,301.8457336425781,302.02317138189983,299.5577386878363,300.36088242889383,48293000
2020-07-28,299.93133544921875,302.2379977580067,299.6324899154091,301.1079934269413,57495000
2020-07-29,303.6201171875,304.1897932838839,300.78114153382637,300.818504351494,48454200
2020-07-30,302.5367736816406,302.95702693767106,298.5024735213327,300.6130021308088,61861700
2020-07-31,304.9274597167969,305.030200316559,300.08066836058464,304.34846442559933,84986800
2020-08-03,307.04736328125,307.8224634422945,306.05746259390503,306.60844290105194,53077900
2020-08-04,308.23333740234375,308.23333740234375,306.1788106195919,306.1788106195919,41917900
2020-08-05,310.1477355957031,310.4092467099634,309.2792428215132,309.5500732616631,42697700
2020-08-06,312.2209777832031,312.3423855338045,309.23260865062025,309.55946909466877,43679400
2020-08-07,312.4451904296875,312.73468812555745,310.32528527024743,311.24048900203246,57308300
2020-08-10,313.37908935546875,313.5658464504437,310.94167129538465,312.90280603924396,44282100
2020-08-11,310.7922058105469,315.21877299541023,310.0544683626334,314.5743998324138,69601100
2020-08-12,315.1253662109375,315.9098142659354,313.2296096198239,313.25762460394975,53774400
2020-08-13,314.5556945800781,315.88180367926964,313.6218237635836,314.3502418604703,41816100
2020-08-14,314.5650939941406,315.1067551162417,313.42577027119864,314.16353631707,47260400
2020-08-17,315.56427001953125,315.96582760402447,314.574369299887,315.59228500218256,35481000
2020-08-18,316.2460632324219,316.67563587740307,314.35027789810545,315.96588485566804,38733900
2020-08-19,314.9292907714844,317.1518795520777,314.35961470835485,316.62891413317595,68054200
2020-08-20,315.9097595214844,316.3953619953394,313.0521176379559,313.18284470806407,42207800
2020-08-21,317.03045654296875,317.25457640601667,315.228064312712,315.57362043420943,55106600
2020-08-24,320.24298095703125,320.3176780797883,317.0024482049914,319.49586723208756,48588700
2020-08-25,321.3636474609375,321.4476924214543,319.63598060726247,320.8126670534533,38463400
2020-08-26,324.58544921875,324.8562512047831,321.4102945075383,321.96127480599944,50790200
2020-08-27,325.2951965332031,326.76138049891904,323.6142405275689,325.46331493334617,58034100
2020-08-28,327.39642333984375,327.52717893591137,325.127124060751,326.3318254124016,48588900
2020-08-31,326.2103576660156,328.0687511578837,325.9768900012294,327.18159113137835,66099200
2020-09-01,329.2828369140625,329.3855490183013,326.1450163289373,327.0508721095224,54908700
2020-09-02,334.04559326171875,335.02614619224755,330.05794674542517,331.21596590563496,69540000
2020-09-03,322.5496826171875,332.8129146497401,319.93482700733875,332.336631372699,148011100
2020-09-04,319.9161071777344,324.8282479048653,312.72529105890504,323.2406847419041,139156300
2020-09-08,311.175048828125,319.9814712130899,310.86688403604006,314.4435962871686,114465300
2020-09-09,317.3199462890625,319.8133652017363,314.35021568033756,315.22805645469094,91462300
2020-09-10,311.81011962890625,319.87874812105133,310.83888606521725,319.2157078657849,90569500
2020-09-11,311.9688720703125,314.68643947384305,309.1112297489658,313.6124937712869,84680200
2020-09-14,316.077880859375,317.8709252096121,312.11827806442085,315.1720251068154,65605700
2020-09-15,317.6748046875,319.4024426618689,316.087213117058,318.5619647420056,52920900
2020-09-16,316.4140930175781,320.3736958610117,316.13391469407816,318.9262076044188,82096000
2020-09-17,313.6310729980469,315.36808699040364,310.96953630782707,311.50184934576436,91523300
2020-09-18,310.02044677734375,314.5584714401941,307.5076612275402,314.4459629250625,105877900
2020-09-21,306.5700378417969,306.7200587261733,301.6569754860896,305.3792846273536,99450800
2020-09-22,309.6922912597656,310.25486247331366,305.52930433849474,308.07024574053406,63612100
2020-09-23,302.5101623535156,310.5360925965994,302.0038455137566,310.2547927462648,93112200
2020-09-24,303.3164978027344,306.4105959175877,299.8473332139737,301.1787505238137,76681300
2020-09-25,308.22021484375,309.01715959766386,301.5725705110975,302.4538966408297,71069400
2020-09-28,313.33953857421875,314.061487167799,311.42680829658167,312.4300567444478,64584600
2020-09-29,311.6331481933594,313.8834044276581,310.92994133179354,313.1333285540787,51304000
2020-09-30,313.9959411621094,317.1838065411138,312.11133761916705,312.3082275283585,104081100
2020-10-01,316.01171875,317.6056367475899,314.1083737848858,316.6211588259477,88698700
2020-10-02,313.01141357421875,315.9836469643129,310.5267552211133,311.0049450109112,89431100
2020-10-05,318.5621032714844,318.7496079388286,315.0460688562154,315.0929378696611,45713100
2020-10-06,314.03338623046875,320.8216950795828,313.51771270827516,318.7026895108574,90128900
2020-10-07,319.4996032714844,320.3153183989159,316.9961750333017,317.02430215447,56999600
2020-10-08,322.33123779296875,322.3968772936673,320.53101582851974,321.45926824445695,45242500
2020-10-09,325.2096862792969,325.6784907777207,323.37198065727125,324.00016266156786,59528600
2020-10-12,330.44158935546875,331.93238448607866,327.28185106478344,327.7787827749867,80388500
2020-10-13,328.28509521484375,330.47909718518025,327.3099736901741,330.3009491581667,73255500
2020-10-14,326.22235107421875,329.97278774758956,325.481660432992,328.8664157961998,57727900
2020-10-15,325.81915283203125,326.3066992490572,321.7218057616366,322.2656064339518,60357700
2020-10-16,325.62225341796875,328.86637270354765,325.4441054102422,327.1880445003351,89501900
2020-10-19,320.67169189453125,327.5349686413807,319.7622099387376,326.8974013316751,68425600
2020-10-20,321.9562072753906,325.2378390228432,321.26238571941064,322.03120341108115,60051900
2020-10-21,321.34674072265625,324.10331345331286,321.0373137311335,321.9092832280509,63575000
2020-10-22,323.10943603515625,323.70013430577444,319.3965122658435,321.56238684907237,55399300
2020-10-23,324.20648193359375,324.4033718379472,321.72182347631536,324.3471175795605,49143900
2020-10-26,318.2151184082031,321.5811311382189,314.68031431922407,320.78415780016087,91473000
2020-10-27,317.11810302734375,318.89955432543974,316.9024426660506,318.562028834951,65994100
